"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.0001,1,5004830633505951744,0.00168680525,0.0011229703,0.00135803965,0.00180645105,0.00116545505,0.0015737784,0.00140833415,0.00185176815,0.0014143939,0.00124005225
0.001,1,6926672957057264640,0.001828704,0.00174560805,0.00148783735,0.00142124305,0.0015793403,0.0022337743,0.00169024545,0.00167034065,0.0016181417,0.00190807125
0.01,1,7005072661441869824,0.00197461635,0.00184216375,0.00186983745,0.0017127238,0.0019229157,0.0020284942,0.00178727025,0.00175967755,0.0019403677,0.00188228895
0.015,1,6848513922928172032,0.0019698988,0.0019314849,0.00196264955,0.00196608165,0.0019410937,0.00189386775,0.0020064968,0.0019826128,0.00193129015,0.00187738315
0.1,1,6716569225766937600,0.00198107415,0.00196262565,0.00193640965,0.0019640752,0.0019973879,0.00189088345,0.00189395775,0.00192996465,0.00204550405,0.00195143065
0.15,1,7989076824165601280,0.00205637465,0.00208413035,0.00202920385,0.0020420922,0.00204626375,0.00198142885,0.0020034861,0.002030152,0.0020289571,0.00205298055
0.2,1,621830990920661888,0.00194735365,0.00194373795,0.001918547,0.0020225336,0.0019182172,0.0018882632,0.00200081955,0.0019602481,0.0018866703,0.00193387565
0.3,1,6949947693429223424,0.00197302675,0.00188653525,0.00198336355,0.00187317945,0.0019820611,0.0018825331,0.00197366765,0.0019055253,0.00195074155,0.00195846685
0.4,1,389534023160618112,0.00179880085,0.0018617838,0.0019012634,0.0019013034,0.0018756772,0.0017864164,0.0019168051,0.00192487175,0.00183143155,0.00189507745
0.5,1,8959095719711405056,0.0016810874,0.0016941264,0.001826542,0.00182074335,0.00165318615,0.00177106875,0.0017267231,0.0016525054,0.001719737,0.00171723045
0.00001,1,8652696572279096320,0.00111858365,0.0016483374,0.0014012116,0.0012167647,0.00157644265,0.001424196,0.0015070207,0.00109060055,0.0013359862,0.0012800272
