"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.0001,1,2416506256834968064,0.0015086272,0.00125407215,0.0014100631,0.0007111745,0.00115546015,0.0014957649,0.0006885803,0.0016299953,0.00147186735,0.0014758569
0.001,1,6837261258101183488,0.00113299035,0.00142934845,0.0015485804,0.0015037849,0.00154669575,0.0015072905,0.0011966803,0.001416669,0.0018866435,0.0011313861
0.01,1,690911028042971264,0.0020428856,0.0021271888,0.0018646694,0.0019960594,0.00193630095,0.00198495935,0.00205394515,0.0022714618,0.00206633825,0.0020383498
0.015,1,7022102854223312896,0.0020208854,0.00209825615,0.0020968778,0.00210208255,0.00201195055,0.0019695074,0.00200162645,0.00198324385,0.0019646409,0.00195735395
0.1,1,4259725412608697344,0.0019840171,0.0019702774,0.0019506266,0.0020192785,0.00194950345,0.0019882335,0.00187234975,0.0018898589,0.00195801805,0.00192498335
0.15,1,4434629515017043456,0.0020580868,0.00200915345,0.0021136868,0.00208671515,0.00218060425,0.002102772,0.0021214245,0.0021398223,0.0020458668,0.0021277032
0.2,1,239174730512843136,0.0019084719,0.0018826502,0.0019443495,0.0018862826,0.0019015366,0.00188746975,0.001912052,0.0018456218,0.00187388625,0.0018747469
0.3,1,1370193198129678336,0.0021057486,0.00207713465,0.0020696861,0.0020738804,0.002091237,0.00205391785,0.002023056,0.0019697982,0.0020297788,0.00198499595
0.4,1,4889185592737976320,0.0021377377,0.00206305045,0.00210613035,0.0021814628,0.00201781355,0.0021065956,0.0020977686,0.0020616306,0.00206919965,0.00212868925
0.5,1,8299693257643324416,0.00206228035,0.002041313,0.0020318572,0.0020430817,0.0019793596,0.0020000484,0.0020656487,0.00202806115,0.00206336965,0.00202793
0.00001,1,2346916126161631744,0.00121690055,0.0014770045,0.0013690266,0.00130676615,0,0.0010562705,0.0011246631,0,0.00157743635,0
0.000001,1,4245748549097421312,0.0014778355,0.00186103305,0,0,0.001348524,0.00164773755,0,0.00122441375,0.0012837961,0.0017057276
0.0001,10,600220157564116864,0.00152402945,0.00126867755,0.0017554985,0.00168130495,0.0015112563,0.00141226655,0.00191923215,0.00160277095,0.0016495016,0.00159623725
0.001,10,4704917550013947904,0.0015950571,0.00137503795,0.0014791838,0.00200991715,0.00177064125,0.001765594,0.0015894566,0.00165469155,0.0016991575,0.0017814881
0.01,10,2203942733220781568,0.00193012175,0.002116615,0.00190048605,0.00191166905,0.0020552366,0.00197233805,0.00189573265,0.0018656623,0.00205957425,0.0020369396
0.015,10,6864377105429395456,0.00181715675,0.00199841535,0.0020276685,0.00184653485,0.0019206992,0.00191837145,0.0019388847,0.0019317349,0.0019678016,0.00189375335
0.1,10,7127290274872343552,0.00194275595,0.00195476575,0.00188169,0.00196635395,0.0020163109,0.0019826662,0.00205105505,0.00191222965,0.0018970407,0.00191745535
0.15,10,5511677861508858880,0.0019079849,0.0019113445,0.0018781182,0.00192379325,0.00197890095,0.00194038445,0.0019475565,0.00191432395,0.0018446039,0.0019895769
0.2,10,5729532954150028288,0.0018846623,0.0019369737,0.00185244385,0.0018504293,0.00188230275,0.00194530245,0.0019171207,0.00187829785,0.0018588856,0.0018102969
0.3,10,6531076302718952448,0.00197635955,0.00194477455,0.0018461781,0.00194240365,0.001967029,0.00191378745,0.0019203998,0.0018880881,0.00194481675,0.0019570852
0.4,10,3344404526680787968,0.0018919204,0.00192494485,0.00194611095,0.0019237648,0.00193862345,0.00191032115,0.00199721795,0.00189312555,0.00193319235,0.0019412636
0.5,10,7954472342988800000,0.0020845673,0.00197844675,0.00207759005,0.0020694675,0.00196581195,0.0019574307,0.00200930685,0.0019889708,0.0019978804,0.00197782115
0.00001,10,2974704764365993472,0.00147343535,0,0.00196360805,0.00155690695,0.00125385605,0.00191934885,0.0018036479,0.001045222,0.0013913424,0.00153763915
0.000001,10,5574760647481084928,0.0013823287,0.0015395954,0,0.001514313,0.00151649125,0,0.00152251265,0.00114536515,0.0017113216,0.00189350645
0.0001,11,363723990444509504,0.00151676235,0.0013141458,0.0019170588,0.0013210435,0.00091647345,0.00168184275,0.0014081998,0.0015424536,0.0018397546,0.0017614439
0.001,11,7367317095957541888,0.0018623083,0.00153562955,0.00178815855,0.00181312825,0.002218194,0.0017451546,0.0021886148,0.002052275,0.002179253,0.0017075453
0.01,11,7461559441528938496,0.0020658872,0.00213581275,0.00192163695,0.00210073735,0.00180871275,0.0020897421,0.0020256255,0.0019124033,0.0018939169,0.00200034825
0.015,11,648707401350434432,0.00190770615,0.0018812988,0.00178642745,0.0018738987,0.00178772465,0.0019177512,0.00184040885,0.00185710845,0.00188411375,0.0018045975
0.1,11,1743739833391520768,0.002124017,0.0021057241,0.00212326845,0.0021277779,0.00210216605,0.0020359673,0.00208444045,0.00194117585,0.0019824006,0.00208832355
0.15,11,8668494190716784640,0.0019533921,0.0019043619,0.00184131965,0.00187633165,0.001914438,0.00191426015,0.00194123655,0.00189898805,0.0019609883,0.00177841385
0.2,11,1889234208111561984,0.00205563725,0.00207301765,0.0020210636,0.00202779945,0.00209706885,0.00208215175,0.00197502485,0.00202411095,0.00202872205,0.00200623325
0.3,11,1906495614324633088,0.00206941735,0.00207019995,0.001969464,0.0021013827,0.0020580195,0.0020288914,0.00207903675,0.00207621055,0.0020812407,0.0020731222
0.4,11,6891204210935931904,0.0018646352,0.00189331995,0.0018496967,0.00187370235,0.00188804745,0.0018554408,0.0019635048,0.00186883245,0.001904569,0.0019669861
0.5,11,6187594269640938496,0.00204560705,0.0020158128,0.00201202265,0.0020068934,0.0020847947,0.00207225205,0.0020729057,0.00198625005,0.00205127385,0.0020750486
0.00001,11,2099910783684248320,0.0014766289,0.0013426841,0.00105471345,0.0016106058,0.00175013165,0.0014794776,0.00116374925,0.0010955766,0.00122535635,0
0.000001,11,6006980574286081024,0.00157985645,0,0,0.0011456492,0.00143802255,0,0,0.0015181199,0.0013750276,0
0.0001,12,1068385507727486208,0.00151175565,0.001600574,0.0015276629,0.0012304208,0.00168490355,0.00173346605,0.00146177045,0.00175027065,0.0016455777,0.0014815499
0.001,12,2280877087219688448,0.00205391485,0.00200245585,0.001902303,0.00198821755,0.0020269021,0.0019213473,0.00208277435,0.00216304665,0.00201363055,0.0021740178
0.01,12,1014274292533532288,0.00189893065,0.0017484191,0.00177109685,0.0017377954,0.0018048318,0.00177101765,0.00179549055,0.00181853665,0.00186950225,0.0018432129
0.015,12,5949903536639974400,0.00195436905,0.0018772832,0.0019634752,0.00176953005,0.0019512543,0.0020127891,0.001770263,0.0018573174,0.00180458695,0.00188395675
0.1,12,4541553317329400320,0.00189334135,0.0019537154,0.00192696385,0.0019084828,0.00191943215,0.0018986564,0.0019011601,0.00191512895,0.0019294473,0.00195070455
0.15,12,981754267014374528,0.00188823795,0.001929375,0.00201086555,0.00190129645,0.00191778875,0.00187907605,0.00194660115,0.001898136,0.0019667844,0.00187810055
0.2,12,7799268209462934528,0.00209912635,0.00206159765,0.0020538617,0.00196628365,0.001995909,0.0021025105,0.0020225936,0.0019703868,0.00199998235,0.00199492245
0.3,12,5834425434453432320,0.00193288035,0.0020025039,0.00190645605,0.0019630886,0.0020203042,0.0019709208,0.0018873905,0.00199301925,0.00198452215,0.00194645355
0.4,12,8912059483088549888,0.00192834365,0.0019371385,0.00190712335,0.00191058445,0.00185384375,0.0018605242,0.0018456215,0.00184318005,0.00190592895,0.00193188105
0.5,12,8156794653461355520,0.00216741115,0.0021914322,0.00213500065,0.00214479415,0.0021846285,0.00214094235,0.0021497455,0.0021615983,0.002173456,0.0021463718
0.00001,12,7824066650148051968,0.0014870038,0,0.00159528475,0.0014145596,0.0008700084,0.00165886985,0,0.00129436135,0.0013800545,0.00122079865
0.000001,12,684466721610769664,0.0015253933,0.00122679525,0.00121305515,0.0017466637,0.00190349565,0,0.00173021055,0,0.0011604368,0.00134596105
0.0001,13,5830868171377281024,0.0011674083,0.0012508179,0.0015145843,0.00165138715,0.0013289858,0.00133397025,0.00114111745,0.00133742915,0.00170895105,0.0016794276
0.001,13,5429249047685489664,0.00165485595,0.0014648698,0.00171112475,0.0017805266,0.00173943775,0.001674143,0.00186156915,0.00174014855,0.00183215495,0.00160430935
0.01,13,7104423566205477888,0.00165126865,0.00160377245,0.00180142225,0.0017093448,0.00163766195,0.0015767913,0.001745054,0.00179006605,0.0016595497,0.00172400955
0.015,13,8365817791518826496,0.0018418826,0.00171297185,0.00170490385,0.0019008487,0.00179265045,0.0019381155,0.00172774265,0.0017581671,0.0018903131,0.00177973475
0.1,13,1801872836344367616,0.0020052371,0.00196156865,0.0020560045,0.00201879695,0.00196770715,0.0019398005,0.00203865775,0.00206581785,0.00208021555,0.0019151699
0.15,13,467227069896278080,0.00165293535,0.0016607441,0.0017717469,0.00172251485,0.0017423047,0.00177443165,0.00170495365,0.00173509765,0.00171718995,0.0016914889
0.2,13,4232007100807513088,0.0018445996,0.00183730745,0.0018693819,0.00183724425,0.00182050275,0.0017876933,0.00182739455,0.0018478775,0.001870198,0.0018094014
0.3,13,5660748832832937984,0.0021407461,0.002111926,0.00220293225,0.0020689083,0.0022194582,0.0021684169,0.00218780145,0.00218693365,0.0020802326,0.00209055755
0.4,13,6745093003449864192,0.0019701888,0.0019801961,0.00201927705,0.00188958105,0.00207120375,0.0019020489,0.00200035125,0.00190932965,0.0020107563,0.00196777355
0.5,13,5073064412272544768,0.00203998385,0.0019594631,0.0020316056,0.002013591,0.0019757171,0.0020169784,0.0020589432,0.00208201415,0.00201415285,0.00196703205
0.00001,13,7795291041079456768,0.00150553335,0,0.0016457109,0.0012159153,0.0014768649,0.0013916587,0.00136118305,0.0013861057,0.00126766765,0.0009804772
0.000001,13,6887560588252664832,0.00149970065,0.0016781335,0.0016620605,0.00137301515,0.00154291395,0.0015680747,0,0,0.00109413575,0.00154603115
