"m","reps","seed","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10"
0.0001,1,4654084174771004416,0.00043083675,0.00124170595,0.00165882005,0.0012136708,0.0014347869,0.0008111963,0.0012817232,0.0010595949,0.00186666575,0.00141902405
0.001,1,7565958719026722816,0.00182998385,0.00155015645,0.0015643585,0.00174844005,0.00172061805,0.0018332618,0.00168985805,0.0013474788,0.0017713444,0.00125854305
0.01,1,1038054031324643456,0.00183570565,0.0020598647,0.0020455136,0.00208084995,0.0019199387,0.0018410388,0.00206840665,0.0019186739,0.0018705347,0.0020207467
0.015,1,4661220700892549120,0.00187106865,0.00196893155,0.0019243896,0.00180030735,0.00195620955,0.0019050725,0.00198917675,0.00182065395,0.0020308669,0.001959469
0.1,1,4640329855137651712,0.0020744313,0.0020649976,0.00200507895,0.0019459781,0.0019655835,0.0020900983,0.0019567092,0.0020281138,0.0019815563,0.00201907175
0.15,1,3914802953843713536,0.00189601665,0.00178068375,0.0018636326,0.00179080535,0.0017862502,0.00184406305,0.00059149635,0.0018214237,0.001850762,0.00177572395
0.2,1,6098196728293173248,0.00169419135,0.0017558373,0.0016612385,0.0017544832,0.00166789925,0.0017142363,0.0017356232,0.0017102966,0.0017494915,0.0017288274
0.3,1,4822771417409953792,0.0019009477,0.0018968134,0.0019384848,0.0019324761,0.0018910186,0.001965651,0.0019561865,0.00195251,0.0019487186,0.00193031665
0.4,1,1145866124037136768,0.0020362015,0.00203221505,0.00192816575,0.0019548047,0.0019293851,0.00194316115,0.00192455655,0.00188509425,0.0019520759,0.00200050005
0.5,1,9017425727515457536,0.00209043085,0.0021339088,0.0020904457,0.002015957,0.0020127588,0.0020720228,0.00214424985,0.0020796363,0.00211391345,0.0021162
0.00001,1,6306846742783653888,0,0,0,0,0,0,0,0.0014574493,0,0
0.0001,10,4267082665100807680,0.00060401965,0.00143903075,0.00045522715,0.0006237909,0.00118762215,0.0016018764,0.00151758625,0.0005732731,0.00060198295,0.00056995995
0.001,10,2271754283259691008,0.00162674385,0.0012678237,0.00169851085,0.00154313715,0.00107181185,0.00161223555,0.00156256945,0.0016596106,0.0015309942,0.00160990475
0.01,10,4941082597895327744,0.0019272249,0.00193996065,0.0020454326,0.00206773505,0.0018984526,0.00188106745,0.00207120125,0.00196655465,0.0018290203,0.00201575545
0.015,10,7585314313989433344,0.00192876585,0.00191213815,0.0018697078,0.0019069587,0.0018367347,0.0018093402,0.0018714428,0.0018789533,0.00177190145,0.00193952115
0.1,10,3020360383316848640,0.00181869225,0.0017912645,0.0019031533,0.0018142087,0.0018437495,0.0018525815,0.0020035085,0.0018131238,0.0018844093,0.00183783555
0.15,10,4711544011356729344,0.0020514643,0.0020644282,0.0020103706,0.0020808519,0.00205516495,0.00211890255,0.00205589865,0.0021280016,0.00213707165,0.0020845592
0.2,10,8634431290135446528,0.0018072175,0.0017014224,0.00175935605,0.00174903785,0.0018027252,0.0017776088,0.0017938577,0.00177548785,0.0017651132,0.00169603205
0.3,10,2724787759445728768,0.0021663247,0.0021823625,0.00213003245,0.00209559605,0.00217205495,0.0021336799,0.0020922288,0.0022480734,0.0021578859,0.00224843315
0.4,10,224819668940749216,0.0019672088,0.00194944875,0.00203320775,0.0018826608,0.00199139315,0.0018712103,0.00196387695,0.0019414506,0.00194206635,0.0019614982
0.5,10,2227718724949830400,0.0020503989,0.0021614372,0.00213416235,0.0021202484,0.0020467994,0.0021135696,0.00212523465,0.00213969315,0.0021303925,0.0020972526
0.00001,10,3264979701808766976,0,0,0,0,0,0,0.00175838425,0,0,0
0.000001,10,956763706304538624,0,0,0.0016984886,0,0.00172967585,0,0,0,0,0.00147710525
